Campaign,Campaign type,Campaign daily budget,Networks,Language,Bid strategy type,Campaign status,Ad group,Ad group status,Max CPC,Keyword,Match type,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Final URL suffix
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,5.00,pre 2013 truck carb test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search OVI 199,,,,,,,OVI Smoke Test,,,,,Enabled,CARB OVI Test – $199,Mobile Smoke Opacity Test,OVI Smoke Test At Your Yard,J1667 OVI Testing,Pre-2013 Truck Testing,Non-OBD Truck Testing,Mobile Opacity Testing,Book Your OVI Test,Same-Week OVI Testing,Sacramento OVI Testing,Bay Area OVI Testing,CARB Submission Included,Call 916-890-4427,Credentialed Mobile Tester,Private Mobile Test Service,Mobile OVI smoke opacity testing for $199 per vehicle. We bring the equipment to you.,SAE J1667 testing for older and non-OBD vehicles. Same-week appointments available.,"Private credentialed testing service serving Sacramento, Stockton and the Bay Area.",Not sure which test applies? Call with the model year and engine information.,ovi-test,smoke,https://norcalcarbmobile.com/carb-ovi-test,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content={creative}
NCARB Search Motorhome 99-229,Search,15.00,Google Search,en,Manual CPC,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,Enabled,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome carb test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome clean truck check,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome obd test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome ovi test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,rv clean truck check california,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,diesel motorhome carb test,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome carb test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,rv carb test california,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,rv smoke opacity test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,mobile motorhome emissions test,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,4.00,motorhome smog test near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
NCARB Search Motorhome 99-229,,,,,,,Motorhome CARB Test,,,,,Enabled,Motorhome OBD – $99,Motorhome OVI – $229,Mobile RV Emissions Testing,RV Clean Truck Check,We Come To Your Motorhome,Motorhome Testing At Home,Mobile Motorhome OBD Test,Mobile Motorhome OVI Test,Book Your RV Test,Same-Week RV Testing,Sacramento RV Testing,Bay Area RV Testing,CARB Submission Included,Call 916-890-4427,Private Mobile Test Service,Motorhome Clean Truck Check at your location: OBD $99 or OVI smoke testing $229.,"We test at homes, storage lots and RV parks across Sacramento and the Bay Area.",Not sure which test applies? Call with the motorhome year and engine details.,Private credentialed mobile testing service. Request a callback or call 916-890-4427.,motorhome,carb-test,https://norcalcarbmobile.com/motorhome-carb-test,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content={creative}
