company,legal_name,dba_name,email,phone,city,state,zip,address,usdot,power_units,truck_units,metro,nearest_hub,mi_nearest,mi_sac,mi_oak,lat,lng,carrier_operation,classdef,safer_url,source
ARNAUDO BROTHERS TRANSPORT INC,ARNAUDO BROTHERS TRANSPORT INC,,arnaudobrothersinc17@gmail.com,2098350406,TRACY,CA,95304,16505 SOUTH TRACY BLVD,45168,10,10,Stockton,Oakland,48.1,63.1,48.1,37.6711,-121.40656,A,PRIVATE PROPERTY;EXEMPT FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=45168,fmcsa_census_az4n-8mr2
CARDINALE MOVING & STORAGE INC,CARDINALE MOVING & STORAGE INC,,info@cardinalemoving.com,8316324100,CASTROVILLE,CA,95012,11360 COMMERCIAL PKWY,45193,19,19,Bay,Oakland,75.9,125.0,75.9,36.78448,-121.75905,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=45193,fmcsa_census_az4n-8mr2
TAHOE BASIN CONTAINER SERVICE INC,TAHOE BASIN CONTAINER SERVICE INC,,ron@southtahoerefuse.com,5305414353,SOUTH LAKE TAHOE,CA,96150,2140 RUTH AVE,54056,10,10,Sacramento,Sacramento,82.5,82.5,143.0,38.86982,-120.00859,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=54056,fmcsa_census_az4n-8mr2
UNITED DRAYAGE COMPANY,UNITED DRAYAGE COMPANY,,mlau@hfsnet.com,5106147100,SAN LEANDRO,CA,94577,2964 ALVARADO ST UNIT K,57332,3,3,Bay,Oakland,8.5,70.3,8.5,37.71328,-122.16735,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=57332,fmcsa_census_az4n-8mr2
SCHNITZER STEEL PRODUCTS,SCHNITZER STEEL INDUSTRIES INC,SCHNITZER STEEL PRODUCTS,dmedeiros@rdus.com,5104526360,OAKLAND,CA,94607,1101 EMBARCADERO WEST,59696,55,55,Bay,Oakland,1.7,69.2,1.7,37.80721,-122.3015,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=59696,fmcsa_census_az4n-8mr2
POZAS BROS TRUCKING CO INC,POZAS BROS TRUCKING CO INC,,gpmaillo@sbcglobal.net,5107429939,NEWARK,CA,94560,8130 ENTERPRISE DRIVE,60701,40,40,Bay,Oakland,24.5,80.0,24.5,37.50451,-122.03292,B,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=60701,fmcsa_census_az4n-8mr2
SHEEDY DRAYAGE CO,SHEEDY DRAYAGE CO,,ddemartini@sheedycrane.com,4156487171,SAN FRANCISCO,CA,94107,1215 MICHIGAN ST,60740,20,20,Bay,Oakland,7.6,75.1,7.6,37.76046,-122.39972,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=60740,fmcsa_census_az4n-8mr2
B C LAWSON DRAYAGE INC,B C LAWSON DRAYAGE INC,,patrick@lawsoninc.com,5107855100,HAYWARD,CA,94545,3402 ENTERPRISE AVE,62897,36,36,Bay,Oakland,15.8,75.7,15.8,37.6059,-122.12687,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=62897,fmcsa_census_az4n-8mr2
VEGETABLE GROWERS SUPPLY CO,VEGETABLE GROWERS SUPPLY CO,,accountingadmin@veggrow.com,8317594600,SALINAS,CA,93901,1360 MERRILL ST,68717,5,5,Bay,Oakland,88.2,134.6,88.2,36.63634,-121.62398,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68717,fmcsa_census_az4n-8mr2
URRUTIA RANCH 2018 REVOLCABLE TRUST,URRUTIA LIVESTOCK TRANSPORTATION,URRUTIA RANCH 2018 REVOLCABLE TRUST,williamterzian@gmail.com,5596465831,MADERA,CA,93626,43335 HWY 145 EAST,68734,2,2,Sacramento,Sacramento,144.9,144.9,151.0,37.04329,-119.69131,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68734,fmcsa_census_az4n-8mr2
TOBY'S TRUCKING INC,TOBY'S TRUCKING INC,,denise@tobystrucking.com,7077633867,PETALUMA,CA,94952,421 PAYRAN STREET,68745,94,94,Bay,Oakland,39.9,72.6,39.9,38.23455,-122.76038,C,MIGRANT;EXEMPT FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68745,fmcsa_census_az4n-8mr2
MARIN CHARTER AND TOURS,MARIN AIRPORTER,MARIN CHARTER AND TOURS,lawrencek@marinairporter.com,4152568833,SAN RAFAEL,CA,94901,8 LOVELL AVENUE,68748,18,0,Bay,Oakland,17.2,68.6,17.2,37.97814,-122.49761,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68748,fmcsa_census_az4n-8mr2
TALLEY TRANSPORTATION,TALLEY TRANSPORTATION,,andrea@talleytrans.com,5596739014,MADERA,CA,93638,12325 ROAD 29,68751,21,21,Sacramento,Sacramento,132.9,132.9,133.6,37.04343,-120.03369,C,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68751,fmcsa_census_az4n-8mr2
HENRIS ROOFING CO,HENRIS SUPPLY INC,HENRIS ROOFING CO,info@henrisroofing.com,7077631535,PETALUMA,CA,94952,741  PETALUMA BLVD SO,80219,6,6,Bay,Oakland,39.9,72.6,39.9,38.23455,-122.76038,C,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80219,fmcsa_census_az4n-8mr2
TIGER LINES LLC,TIGER LINES LLC,,jvanotti@tigerlines.com,,LODI,CA,95240,927 BLACK DIAMOND WAY,80289,265,265,Stockton,Sacramento,37.4,37.4,65.0,38.11439,-121.14466,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80289,fmcsa_census_az4n-8mr2
PACIFIC STORAGE COMPANY,PACIFIC STORAGE COMPANY,,gtudor@pacificstorage.com,2093206600,STOCKTON,CA,95219,3439 BROOKSIDE ROAD #206,80356,5,5,Stockton,Sacramento,36.6,36.6,46.2,38.05173,-121.48304,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80356,fmcsa_census_az4n-8mr2
FOSTER VAN LINES INC,FOSTER VAN LINES INC,,operations@fostervanlines.com,5102349131,RICHMOND,CA,94804,167 SOUTH SECOND STREET,80386,5,5,Bay,Oakland,8.6,65.0,8.6,37.91656,-122.34123,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80386,fmcsa_census_az4n-8mr2
FOSTER FARMS,FOSTER POULTRY FARMS LLC,FOSTER FARMS,david.ramirez@fosterfarms.com,8003380342,LIVINGSTON,CA,95334,1333 S SWAN STREET,80403,180,128,Bay,Oakland,89.5,94.6,89.5,37.34731,-120.74263,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=80403,fmcsa_census_az4n-8mr2
FERALLOY PDM STEEL SERVICE,PDM STEEL SERVICE CENTERS INC,FERALLOY PDM STEEL SERVICE,awillson@pdmsteel.com,9165134550,ELK GROVE,CA,95758,9245 LAGUNA SPRINGS DRIVE - SUITE 350,88387,86,86,Sacramento,Sacramento,11.0,11.0,62.2,38.42781,-121.4447,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=88387,fmcsa_census_az4n-8mr2
CHRISTY VAULT COMPANY INC,CHRISTY VAULT COMPANY INC,,bchristensen@christyvault.com,6509941378,COLMA,CA,94014,1000 COLLINS AVE,95362,4,4,Bay,Oakland,12.4,80.4,12.4,37.69088,-122.44744,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95362,fmcsa_census_az4n-8mr2
BIGGE CRANE AND RIGGING CO,BIGGE CRANE AND RIGGING CO,,jcoenen@bigge.com,5106388100,SAN LEANDRO,CA,94577,10700 BIGGE STREET,95406,66,66,Bay,Oakland,8.5,70.3,8.5,37.71328,-122.16735,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95406,fmcsa_census_az4n-8mr2
BAR ALE INC,BAR ALE INC,,jgonzales@baraleinc.com,5304733333,WILLIAMS,CA,95987,1011 5TH STREET,95412,10,10,Sacramento,Sacramento,55.8,55.8,89.9,39.10513,-122.283,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95412,fmcsa_census_az4n-8mr2
BOLDEMANN CHOCOLATE INC,BOLDEMANN CHOCOLATE INC,,lamelampy@uc.bloomer.com,4154714300,UNION CITY,CA,94587,1515 PACIFIC ST,95426,4,4,Bay,Oakland,19.6,73.4,19.6,37.60316,-122.01864,C,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95426,fmcsa_census_az4n-8mr2
BUILDING MATERIAL DISTRIBUTORS INC,BUILDING MATERIAL DISTRIBUTORS INC,,ehs@bmdusa.com,8003563001,GALT,CA,95632,225 ELM AVE,95435,36,36,Sacramento,Sacramento,24.7,24.7,63.9,38.27445,-121.2592,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95435,fmcsa_census_az4n-8mr2
CALIFORNIA TANK LINES INC,CALIFORNIA TANK LINES INC,,ag@caltank.com,,STOCKTON,CA,95206,3105 SOUTH EL DORADO STREET,95462,11,1,Stockton,Sacramento,46.0,46.0,47.2,37.91885,-121.41743,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95462,fmcsa_census_az4n-8mr2
CENTRAL COOLING COMPANY,CENTRAL COOLING COMPANY,,alang@westernprecooling.com,8317545107,CASTROVILLE,CA,95012,11233 PRESTON RD,95488,2,2,Bay,Oakland,75.9,125.0,75.9,36.78448,-121.75905,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=95488,fmcsa_census_az4n-8mr2
SACRAMENTO AUTO TRUCK COMPANY INC,SACRAMENTO AUTO TRUCK COMPANY INC,,labozaich@comcast.net,9163714040,WEST SACRAMENTO,CA,95691,525 GALVESTON ST,105384,2,2,Sacramento,Sacramento,6.2,6.2,67.8,38.62795,-121.59329,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105384,fmcsa_census_az4n-8mr2
RAUSSER BROS TRUCKING INC,RAUSSER BROS TRUCKING INC,,rausserbrostrucking@gmail.com,2097441000,GALT,CA,95632,10359 LIVE OAK AVE,105398,9,9,Sacramento,Sacramento,24.7,24.7,63.9,38.27445,-121.2592,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105398,fmcsa_census_az4n-8mr2
RUMIANO CHEESE CO,RUMIANO CHEESE CO,,tony@rumianocheese.com,5309345438,WILLOWS,CA,95988,101 HARVEST DRIVE,105408,7,7,Sacramento,Sacramento,75.2,75.2,116.6,39.49165,-122.26208,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105408,fmcsa_census_az4n-8mr2
RALEYS,RALEY'S INC,RALEYS,rstandif@raleys.com,9169287742,SACRAMENTO,CA,95834,4061 GATEWAY PARK BLVD,105428,47,47,Sacramento,Sacramento,4.0,4.0,70.5,38.63565,-121.51842,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105428,fmcsa_census_az4n-8mr2
RADIAL TIRE WHOLESALE,RADIAL TIRE WHOLESALE,,ap@radtire.net,9163715190,WEST SACRAMENTO,CA,95691,3113 WEST CAPITOL AVE,105431,7,7,Sacramento,Sacramento,6.2,6.2,67.8,38.62795,-121.59329,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105431,fmcsa_census_az4n-8mr2
PONDEROSA FARMS INC,PONDEROSA FARMS INC,,ponderosafarmsinc23@yahoo.com,9169911665,ELVERTA,CA,95626,8051 RIO LINDA BLVD,105438,3,3,Sacramento,Sacramento,10.6,10.6,77.6,38.73315,-121.46817,C,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105438,fmcsa_census_az4n-8mr2
PACIFIC FLOORING SUPPLY INC,PACIFIC FLOORING SUPPLY INC,,jcjrea@sbcglobal.net,9164420491,SACRAMENTO,CA,95811,1527 NORTH C STREET,105458,3,3,Sacramento,Sacramento,0.9,0.9,68.9,38.58323,-121.4781,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105458,fmcsa_census_az4n-8mr2
ORCHARD MACHINERY CORPORATION,ORCHARD MACHINERY CORPORATION,,s.underwood@shakermaker.com,5306732822,YUBA CITY,CA,95993,2700 COLUSA HIGHWAY,105477,42,42,Sacramento,Sacramento,36.0,36.0,93.9,39.0825,-121.68011,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105477,fmcsa_census_az4n-8mr2
MEEKS,ACS CCM LLC,MEEKS,jessica.watkins@acs-lbm.com,9165854575,ELK GROVE,CA,95624,10547 E STOCKTON BLVD,105548,41,41,Sacramento,Sacramento,14.4,14.4,67.5,38.42751,-121.3149,C,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105548,fmcsa_census_az4n-8mr2
B T MANCINI CO INC,B T MANCINI CO INC,,sheila.rhoads@btmancini.com,4089427900,SACRAMENTO,CA,95826,8561 23RD AVE,105559,6,6,Sacramento,Sacramento,6.8,6.8,70.5,38.54375,-121.37769,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105559,fmcsa_census_az4n-8mr2
MT LASSEN MOTOR TRANSIT INC,MT LASSEN MOTOR TRANSIT INC,,info@mtlassentransit.com,5305292722,RED BLUFF,CA,96080,22503 SUNBRIGHT AVE,105566,5,3,Sacramento,Sacramento,120.2,120.2,164.4,40.18189,-122.3771,A,"PRIVATE PASSENGER, BUSINESS;AUTHORIZED FOR HIRE;U. S. MAIL",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105566,fmcsa_census_az4n-8mr2
ROY E LAY TRUCKING,ROY E LAY TRUCKING,,ebrown@cal.net,5306621711,WOODLAND,CA,95776,1218 E KENTUCKY AVENUE,105597,43,43,Sacramento,Sacramento,13.7,13.7,69.1,38.69861,-121.69926,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105597,fmcsa_census_az4n-8mr2
DHC SUPPLIES INC,DHC SUPPLIES INC,,dgsmithjr@dhcsupplies.com,9163832024,RANCHO CORDOVA,CA,95742,11346 SUNCO DR SUITE 101,117852,2,2,Sacramento,Sacramento,15.8,15.8,78.9,38.57778,-121.20179,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=117852,fmcsa_census_az4n-8mr2
GOODWILL INDUSTRIES OF SACRAMENTO VALLEY & NORTHERN NEVADA INC,GOODWILL INDUSTRIES OF SACRAMENTO VALLEY & NORTHERN NEVADA INC,,gilbertt@goodwillsacto.org,9163959000,SACRAMENTO,CA,95826,8001 FOLSOM BLVD,117915,20,20,Sacramento,Sacramento,6.8,6.8,70.5,38.54375,-121.37769,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=117915,fmcsa_census_az4n-8mr2
FOWLER NURSERIES INC,FOWLER NURSERIES INC,,denise@fowlernurseries.com,9166458191,NEWCASTLE,CA,95658,525 FOWLER ROAD,117952,2,2,Sacramento,Sacramento,27.1,27.1,95.4,38.88118,-121.16901,C,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=117952,fmcsa_census_az4n-8mr2
EISLEY NURSERY INC,EISLEY NURSERY INC,,contact@eisleywholesale.com,5308850900,AUBURN,CA,95603,380 NEVADA STREET,117989,4,4,Sacramento,Sacramento,32.1,32.1,100.3,38.91587,-121.08028,C,EXEMPT FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=117989,fmcsa_census_az4n-8mr2
DEVINE INTERMODAL,DEVINE & SON TRUCKING CO INC,DEVINE INTERMODAL,cdolk@devineintermodal.com,9163714430,WEST SACRAMENTO,CA,95691,3870 CHANNEL DRIVE,118022,37,37,Sacramento,Sacramento,6.2,6.2,67.8,38.62795,-121.59329,A,AUTHORIZED FOR HIRE;OTHER-BROKER,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118022,fmcsa_census_az4n-8mr2
CASCADE ROCK INC,CASCADE ROCK INC,,cascaderock@sbcglobal.net,9162753008,SACRAMENTO,CA,95826,8585 KIEFER BLVD,118080,10,10,Sacramento,Sacramento,6.8,6.8,70.5,38.54375,-121.37769,C,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118080,fmcsa_census_az4n-8mr2
FRANK M BOOTH INC,BOOTH FRANK M,FRANK M BOOTH INC,maryh@frankbooth.com,5307493747,MARYSVILLE,CA,95901,222  3RD ST,118200,15,15,Sacramento,Sacramento,44.4,44.4,106.7,39.22394,-121.49405,A,PRIVATE PROPERTY,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118200,fmcsa_census_az4n-8mr2
ADAMS TRUCKING INCORPORATED,ADAMS TRUCKING INCORPORATED,,trucking@adamsgrp.com,5306682002,ARBUCKLE,CA,95912,7301 JOHN GALT WAY,118295,39,39,Sacramento,Sacramento,42.9,42.9,84.5,39.0167,-122.06214,A,AUTHORIZED FOR HIRE,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118295,fmcsa_census_az4n-8mr2
AMADOR STAGE LINES,AMADOR STAGE LINES INC,AMADOR STAGE LINES,wrabus@hotmail.com,,SACRAMENTO,CA,95814,1331 C STREET,118303,56,0,Sacramento,Sacramento,0.1,0.1,68.2,38.58057,-121.49559,A,"PRIVATE PASSENGER, BUSINESS;PRIVATE PASSENGER, NON-BUSINESS;AUTHORIZED FOR HIRE",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118303,fmcsa_census_az4n-8mr2
SWINERTON INCORPORATED,SWINERTON INC,SWINERTON INCORPORATED,josie.wu@swinerton.com,4159841216,CONCORD,CA,94520,2001 CLAYTON ROAD 7TH FLOOR,131651,83,83,Bay,Oakland,18.2,50.2,18.2,37.99529,-122.04063,A,PRIVATE PROPERTY;OTHER-CONSTRUCTION MATERIAL/EQUIPMENT HAULING,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=131651,fmcsa_census_az4n-8mr2
