company,email,phone,city,metro,usdot,power_units,mi_nearest,nearest_hub,safer_url
ROSENDIN ELECTRIC INC,brumbolz@rosendin.com,4082862800,SAN JOSE,San Jose,1189149,235,37.4,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1189149
PANELLA TRUCKING LLC,lkschwartz@panellatrucking.com,,STOCKTON,Stockton,234182,232,47.4,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=234182
RALPH PANELLA LEASING LP,lschwartz@panellatrucking.com,2099435000,STOCKTON,Stockton,334013,232,47.4,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=334013
CHEMICAL TRANSFER --OR-- CHEMICAL TRANSFER COMPANY INC,cindy@caltank.com,2094663554,STOCKTON,Stockton,269372,231,46.0,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=269372
SACRAMENTO MUNICIPAL UTILITY DISTRICT,tiffany.navarrette@smud.org,9167325092,SACRAMENTO,Sacramento,411819,221,3.0,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=411819
ALCAL SPECIALTY CONTRACTING INC,salt.team@paccoast.com,9162865700,SACRAMENTO,Sacramento,1127885,217,4.0,Sacramento,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1127885
COAST COUNTIES PETERBILT PACLEASE,jmarquez@coastcounties.com,4084535510,SAN JOSE,San Jose,1006481,131,38.2,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1006481
ROYAL COACH TOURS,greg@royal-coach.com,4082794801,SAN JOSE,San Jose,164777,109,38.3,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=164777
TRANSPAK INC,doug.piccolotti@transpak.com,4085913917,SAN JOSE,San Jose,1158181,91,37.4,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1158181
RENN TRANSPORTATION INC,apalacio@renntrans.com,4088423545,GILROY,San Jose,1350100,84,67.1,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1350100
FRY'S ELECTRONICS INC,kdr@i.frys.com,4084874758,SAN JOSE,San Jose,1491697,82,38.2,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1491697
BLAINE TECH SERVICES INC,fthie@blainetech.com,4085730555,SAN JOSE,San Jose,786261,75,38.2,Oakland,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=786261
